Tabla,Politica,Comando,Roles,Condicion
perfil_usuario,perfil_usuario_select,SELECT,authenticated,"id = auth.uid() OR public.es_rol_multisede()"
perfil_usuario,perfil_usuario_admin_write,ALL,authenticated,"public.rol_usuario_actual() = 'administrador'"
usuario_sede,usuario_sede_select,SELECT,authenticated,"user_id = auth.uid() OR public.es_rol_multisede()"
usuario_sede,usuario_sede_admin_write,ALL,authenticated,"public.rol_usuario_actual() = 'administrador'"
paciente,paciente_select,SELECT,authenticated,"public.rol_usuario_actual() IN ('recepcion', 'profesional', 'caja', 'supervision', 'administrador')"
paciente,paciente_insert,INSERT,authenticated,"public.rol_usuario_actual() IN ('recepcion', 'caja', 'administrador')"
paciente,paciente_update,UPDATE,authenticated,"public.rol_usuario_actual() IN ('recepcion', 'caja', 'profesional', 'administrador')"
encuentro,encuentro_select,SELECT,authenticated,"public.tiene_acceso_a_sede(site_id)"
encuentro,encuentro_insert,INSERT,authenticated,"public.rol_usuario_actual() IN ('recepcion', 'caja', 'profesional', 'administrador') AND public.tiene_acceso_a_sede(site_id)"
encuentro,encuentro_update,UPDATE,authenticated,"public.rol_usuario_actual() IN ('profesional', 'administrador') AND public.tiene_acceso_a_sede(site_id)"
cita_reagendada,cita_reagendada_select,SELECT,authenticated,"public.tiene_acceso_a_sede(site_id) OR EXISTS (SELECT 1 FROM public.encuentro e WHERE e.id = encuentro_id AND public.tiene_acceso_a_sede(e.site_id))"
cita_reagendada,cita_reagendada_insert,INSERT,authenticated,"public.rol_usuario_actual() IN ('recepcion', 'caja', 'administrador') AND (public.tiene_acceso_a_sede(site_id) OR EXISTS (SELECT 1 FROM public.encuentro e WHERE e.id = encuentro_id AND public.tiene_acceso_a_sede(e.site_id)))"
cita_reagendada,cita_reagendada_update,UPDATE,authenticated,"public.rol_usuario_actual() IN ('recepcion', 'caja', 'administrador') AND (public.tiene_acceso_a_sede(site_id) OR EXISTS (SELECT 1 FROM public.encuentro e WHERE e.id = encuentro_id AND public.tiene_acceso_a_sede(e.site_id)))"
nota_clinica,nota_clinica_select,SELECT,authenticated,"public.rol_usuario_actual() IN ('profesional', 'supervision', 'administrador') AND EXISTS (SELECT 1 FROM public.encuentro e WHERE e.id = encuentro_id AND public.tiene_acceso_a_sede(e.site_id))"
nota_clinica,nota_clinica_insert,INSERT,authenticated,"public.rol_usuario_actual() IN ('profesional', 'administrador') AND EXISTS (SELECT 1 FROM public.encuentro e WHERE e.id = encuentro_id AND public.tiene_acceso_a_sede(e.site_id))"
adenda,adenda_select,SELECT,authenticated,"public.rol_usuario_actual() IN ('profesional', 'supervision', 'administrador') AND EXISTS (SELECT 1 FROM public.nota_clinica nc JOIN public.encuentro e ON e.id = nc.encuentro_id WHERE nc.id = adenda.nota_id AND public.tiene_acceso_a_sede(e.site_id))"
adenda,adenda_insert,INSERT,authenticated,"public.rol_usuario_actual() IN ('profesional', 'administrador') AND EXISTS (SELECT 1 FROM public.nota_clinica nc JOIN public.encuentro e ON e.id = nc.encuentro_id WHERE nc.id = adenda.nota_id AND public.tiene_acceso_a_sede(e.site_id))"
caja_turno,caja_turno_select,SELECT,authenticated,"public.es_rol_multisede() OR (public.rol_usuario_actual() = 'caja' AND public.tiene_acceso_a_sede(site_id))"
caja_turno,caja_turno_insert,INSERT,authenticated,"public.rol_usuario_actual() IN ('caja', 'administrador') AND public.tiene_acceso_a_sede(site_id)"
caja_turno,caja_turno_update,UPDATE,authenticated,"(public.rol_usuario_actual() = 'caja' AND cajero_id = auth.uid() AND estado = 'ABIERTA') OR public.rol_usuario_actual() = 'administrador'"
caja_egreso,caja_egreso_select,SELECT,authenticated,"EXISTS (SELECT 1 FROM public.caja_turno ct WHERE ct.id = turno_id AND (public.es_rol_multisede() OR (public.rol_usuario_actual() = 'caja' AND public.tiene_acceso_a_sede(ct.site_id))))"
caja_egreso,caja_egreso_insert,INSERT,authenticated,"public.rol_usuario_actual() IN ('caja', 'administrador') AND EXISTS (SELECT 1 FROM public.caja_turno ct WHERE ct.id = turno_id AND public.tiene_acceso_a_sede(ct.site_id))"
orden_pago,orden_pago_select,SELECT,authenticated,"public.rol_usuario_actual() IN ('recepcion', 'caja', 'supervision', 'administrador') AND EXISTS (SELECT 1 FROM public.encuentro e WHERE e.id = encuentro_id AND public.tiene_acceso_a_sede(e.site_id))"
orden_pago,orden_pago_insert,INSERT,authenticated,"public.rol_usuario_actual() IN ('recepcion', 'caja', 'administrador') AND EXISTS (SELECT 1 FROM public.encuentro e WHERE e.id = encuentro_id AND public.tiene_acceso_a_sede(e.site_id))"
orden_pago,orden_pago_update,UPDATE,authenticated,"public.rol_usuario_actual() IN ('caja', 'administrador') AND EXISTS (SELECT 1 FROM public.encuentro e WHERE e.id = encuentro_id AND public.tiene_acceso_a_sede(e.site_id))"
pago,pago_select,SELECT,authenticated,"public.rol_usuario_actual() IN ('caja', 'supervision', 'administrador') AND EXISTS (SELECT 1 FROM public.orden_pago op JOIN public.encuentro e ON e.id = op.encuentro_id WHERE op.id = pago.orden_id AND public.tiene_acceso_a_sede(e.site_id))"
pago,pago_insert,INSERT,authenticated,"public.rol_usuario_actual() IN ('caja', 'administrador') AND EXISTS (SELECT 1 FROM public.orden_pago op JOIN public.encuentro e ON e.id = op.encuentro_id WHERE op.id = pago.orden_id AND public.tiene_acceso_a_sede(e.site_id))"
auditoria,auditoria_select,SELECT,authenticated,"public.es_rol_multisede()"
organizacion,organizacion_select,SELECT,authenticated,"public.rol_usuario_actual() IN ('recepcion', 'profesional', 'caja', 'supervision', 'administrador')"
sede,sede_select,SELECT,authenticated,"public.rol_usuario_actual() IN ('recepcion', 'profesional', 'caja', 'supervision', 'administrador')"
producto_inventario,producto_inventario_select,SELECT,authenticated,"public.rol_usuario_actual() IN ('profesional', 'caja', 'supervision', 'administrador')"
movimiento_inventario,movimiento_inventario_select,SELECT,authenticated,"public.rol_usuario_actual() IN ('caja', 'supervision', 'administrador')"
