archivo_origen,tabla,politica,comando,roles,definicion
"01_schema_supabase_v1.sql","organizacion","Lectura organización autorizada","SELECT","authenticated","USING (true) WITH CHECK ()"
"01_schema_supabase_v1.sql","sede","Lectura sedes autorizada","SELECT","authenticated","USING (true) WITH CHECK ()"
"01_schema_supabase_v1.sql","perfil_usuario","Lectura perfiles","SELECT","authenticated","USING (true) WITH CHECK ()"
"01_schema_supabase_v1.sql","perfil_usuario","Auto-actualización perfil propio","UPDATE","authenticated","USING (id = auth.uid()) WITH CHECK ()"
"01_schema_supabase_v1.sql","paciente","Ver pacientes","SELECT","authenticated","USING (true) WITH CHECK ()"
"01_schema_supabase_v1.sql","paciente","Crear paciente (Recepción y Admin)","INSERT","authenticated","USING () WITH CHECK (public.obtener_mi_rol() IN ('RECEPCION', 'SUPERVISION', 'ADMIN'))"
"01_schema_supabase_v1.sql","paciente","Editar paciente (Recepción y Admin)","UPDATE","authenticated","USING (public.obtener_mi_rol() IN ('RECEPCION', 'SUPERVISION', 'ADMIN')) WITH CHECK ()"
"01_schema_supabase_v1.sql","encuentro","Ver encuentros","SELECT","authenticated","USING (true) WITH CHECK ()"
"01_schema_supabase_v1.sql","encuentro","Crear encuentro","INSERT","authenticated","USING () WITH CHECK (public.obtener_mi_rol() IN ('RECEPCION', 'ADMIN'))"
"01_schema_supabase_v1.sql","encuentro","Actualizar encuentro","UPDATE","authenticated","USING (public.obtener_mi_rol() IN ('RECEPCION', 'PROFESIONAL', 'ADMIN')) WITH CHECK ()"
"01_schema_supabase_v1.sql","nota_clinica","Lectura médica de notas clínicas","SELECT","authenticated","USING (public.obtener_mi_rol() IN ('PROFESIONAL', 'SUPERVISION', 'ADMIN')) WITH CHECK ()"
"01_schema_supabase_v1.sql","nota_clinica","Crear notas clínicas (Solo Médicos)","INSERT","authenticated","USING () WITH CHECK (public.obtener_mi_rol() IN ('PROFESIONAL', 'ADMIN'))"
"01_schema_supabase_v1.sql","nota_clinica","Actualizar nota clínica antes de cerrar","UPDATE","authenticated","USING (public.obtener_mi_rol() IN ('PROFESIONAL', 'ADMIN') AND cerrada = false) WITH CHECK ()"
"01_schema_supabase_v1.sql","adenda","Lectura médica de adendas","SELECT","authenticated","USING (public.obtener_mi_rol() IN ('PROFESIONAL', 'SUPERVISION', 'ADMIN')) WITH CHECK ()"
"01_schema_supabase_v1.sql","adenda","Crear adenda (Solo Médicos)","INSERT","authenticated","USING () WITH CHECK (public.obtener_mi_rol() IN ('PROFESIONAL', 'ADMIN'))"
"01_schema_supabase_v1.sql","orden_pago","Ver órdenes de pago","SELECT","authenticated","USING (true) WITH CHECK ()"
"01_schema_supabase_v1.sql","orden_pago","Crear órdenes de pago","INSERT","authenticated","USING () WITH CHECK (public.obtener_mi_rol() IN ('RECEPCION', 'CAJA', 'ADMIN'))"
"01_schema_supabase_v1.sql","orden_pago","Actualizar órdenes de pago","UPDATE","authenticated","USING (public.obtener_mi_rol() IN ('CAJA', 'ADMIN')) WITH CHECK ()"
"01_schema_supabase_v1.sql","pago","Ver pagos","SELECT","authenticated","USING (true) WITH CHECK ()"
